Species	MutationRatePerGeneration
Homo_sapiens	1.17E-08
Homo_sapiens	9.70E-09
Homo_sapiens	1.20E-08
Homo_sapiens	1.20E-08
Homo_sapiens	1.28E-08
Homo_sapiens	1.05E-08
Homo_sapiens	1.29E-08
Homo_sapiens	1.28E-08
Homo_sapiens	1.30E-08
Homo_sapiens	1.10E-08
Homo_sapiens	1.22E-08
Homo_sapiens	9.33E-09
Homo_sapiens	1.40E-08
Chlorocebus_sabaeus	9.40E-09
Bos_taurus	1.17E-08
Capra_hircus	4.7E-09
Capra_hircus	6.37E-09
Capra_hircus	4.71E-09
Equus_caballus	7.24E-09
Ovis_aries	4.7E-09
Ovis_aries	6.37E-09
Ovis_aries	4.71E-09